Carrier,Title,State,Zip,Pay,Home_Time
JB Hunt,Nestle Waters - York PA,PA,17406,"$1,730",Home Weekly
JB Hunt,Home Depot RDC Van Buren, OH,OH,45889,"$1,634",Home Weekly
JB Hunt,Leslie's Pool Supply - Hebron KY,KY,41048,"$1,922",Home Weekly
JB Hunt,Soft Lite - Streetsboro OH,OH,44241,"$1,665",Home Weekly
JB Hunt,Mountaire Frozen - Millsboro DE,DE,19966,"$1,692",Home Weekly
Epes,ICL/Intermodal Port Local Mileage,NC,28202,"$1,200",Home Daily
Epes,System Driver (OTR),NC,27409,"$1,712",Home Weekly
Epes,X Driver,NC,27409,"$1,224",Home Weekly
Swift,"Intermodal - Hutchins, TX Regional",TX,75134,"$1,300",Home Weekly
Swift,Tucson Based OTR Drivers,AZ,85701,"$1,100",3 Weeks Out
Swift,Eastern Regional Fleet - Ocala,FL,34474,"$1,200",2 Weeks Out
Swift,"Great Lakes Regional - Edwardsville, KS",KS,66111,"$1,200",2 Weeks Out
Swift,Eastern Regional Fleet - Columbus,OH,43004,"$1,300",2 Weeks Out
Swift,"Manteno, IL Dedicated",IL,60950,"$1,300",Home Weekly
Swift,Target - Lake City, FL Teams,FL,32024,"$1,250",3 Weeks Out
Swift,Eastern Regional Fleet - Greer,SC,29651,"$1,300",2 Weeks Out
Swift,907 Western Regional Comfort Zone - Las Vegas,NV,89101,"$1,200",3 Weeks Out
Swift,Eastern Regional Fleet - Mobile,AL,36601,"$1,300",2 Weeks Out
Swift,907 Western Regional Comfort Zone - Phoenix,AZ,85001,"$1,150",3 Weeks Out
Swift,Regional Forge - Willows, CA,CA,95988,"$1,100",2 Weeks Out
Sharkey,OTR,IL,62301,"$1,750",15 Days Out
USA Truck,Team,AR,72901,"$2,800",3 Weeks Out
Barr-Nunn,Teams - Mileage Fleet Only,NC,28202,"$4,268",18 Days Out
Pam,"FORD052468 (Owner Operator)",TX,78040,"$1,500",Home Weekly
Schneider,Regional - Indianapolis,IN,46201,"$1,150",Home Weekly
Schneider,Dedicated - Dallas,TX,75201,"$1,250",Home Weekly
Bulk Transport,Regional - Atlanta,GA,30301,"$1,400",Home Weekly
Bulk Transport,Dedicated - Birmingham,AL,35201,"$1,350",Home Weekly
National Carriers,Dedicated - Liberal,KS,67901,"$1,300",Home Weekly
National Carriers,OTR,TX,75201,"$1,250",14 Days Out
Nussbaum,OTR,IL,61748,"$1,500",Home Weekly
Pitt Ohio,Regional,PA,15201,"$1,600",Home Daily
Gateway Distribution,Regional,OH,45201,"$1,450",Home Weekly
Maxim,OTR,PA,19101,"$1,550",14 Days Out
Mast Trucking,OTR,OH,44663,"$1,350",Home Weekends
