Carrier,Title,State,Zip,Pay,Home_Time
US Xpress,Dedicated Area 87,VAR,00000,"$1,450",Home Weekly
Swift,Regional Fleet 88,VAR,00000,"$1,200",Home Weekly
Epes,Shorthaul Lane 89,VAR,00000,"$1,100",Home Weekly
Swift,Walmart Dedicated Supplement 90,VAR,00000,"$1,350",Home Weekly
JB Hunt,Local Route 91,VAR,00000,"$1,600",Home Daily
US Xpress,Dedicated Area 92,VAR,00000,"$1,450",Home Weekly
Swift,Regional Fleet 93,VAR,00000,"$1,200",Home Weekly
Epes,Shorthaul Lane 94,VAR,00000,"$1,100",Home Weekly
Swift,Walmart Dedicated Supplement 95,VAR,00000,"$1,350",Home Weekly
JB Hunt,Local Route 96,VAR,00000,"$1,600",Home Daily
US Xpress,Dedicated Area 97,VAR,00000,"$1,450",Home Weekly
Swift,Regional Fleet 98,VAR,00000,"$1,200",Home Weekly
Epes,Shorthaul Lane 99,VAR,00000,"$1,100",Home Weekly
Swift,Walmart Dedicated Supplement 100,VAR,00000,"$1,350",Home Weekly
JB Hunt,Local Route 101,VAR,00000,"$1,600",Home Daily
US Xpress,Dedicated Area 102,VAR,00000,"$1,450",Home Weekly
Swift,Regional Fleet 103,VAR,00000,"$1,200",Home Weekly
Epes,Shorthaul Lane 104,VAR,00000,"$1,100",Home Weekly
Swift,Walmart Dedicated Supplement 105,VAR,00000,"$1,350",Home Weekly
JB Hunt,Local Route 106,VAR,00000,"$1,600",Home Daily
US Xpress,Dedicated Area 107,VAR,00000,"$1,450",Home Weekly
Swift,Regional Fleet 108,VAR,00000,"$1,200",Home Weekly
Epes,Shorthaul Lane 109,VAR,00000,"$1,100",Home Weekly
Swift,Walmart Dedicated Supplement 110,VAR,00000,"$1,350",Home Weekly
JB Hunt,Local Route 111,VAR,00000,"$1,600",Home Daily
US Xpress,Dedicated Area 112,VAR,00000,"$1,450",Home Weekly
Swift,Regional Fleet 113,VAR,00000,"$1,200",Home Weekly
Epes,Shorthaul Lane 114,VAR,00000,"$1,100",Home Weekly
Swift,Walmart Dedicated Supplement 115,VAR,00000,"$1,350",Home Weekly
JB Hunt,Local Route 116,VAR,00000,"$1,600",Home Daily
US Xpress,Dedicated Area 117,VAR,00000,"$1,450",Home Weekly
Swift,Regional Fleet 118,VAR,00000,"$1,200",Home Weekly
Epes,Shorthaul Lane 119,VAR,00000,"$1,100",Home Weekly
Swift,Walmart Dedicated Supplement 120,VAR,00000,"$1,350",Home Weekly
JB Hunt,Local Route 121,VAR,00000,"$1,600",Home Daily
US Xpress,Dedicated Area 122,VAR,00000,"$1,450",Home Weekly
Swift,Regional Fleet 123,VAR,00000,"$1,200",Home Weekly
Epes,Shorthaul Lane 124,VAR,00000,"$1,100",Home Weekly
